NAME,ADDRESS,LATITUDE,LONGITUDE,RATING
"Emerald Dolphin Mini Golf & Arcade","222 N Harbor Dr, Fort Bragg, CA 95437, USA",39.4224832,-123.8083354,3.8
"Golfland Entertainment Centers","976 Blossom Hill Rd, San Jose, CA 95123, USA",37.2497353,-121.8677195,4.1
"Magic Carpet Golf","2455 Lake Tahoe Blvd, South Lake Tahoe, CA 96150, USA",38.9237216,-119.9896577,4.5
"Golf N' Stuff","5555 Walker St, Ventura, CA 93003, USA",34.2554723,-119.2151122,4.1
"Castle Park Miniature Golf","3500 Polk St, Riverside, CA 92505, USA",33.9029213,-117.4663068,4.6
"Urban Putt","1096 S Van Ness Ave, San Francisco, CA 94110, USA",37.7557310,-122.4168235,4.5
"Boomers! Santa Maria","2250 Preisker Ln, Santa Maria, CA 93458, USA",34.9818466,-120.4334226,3.9
"Lighthouse Plaza","180 Lupin Dr, Arcata, CA 95521, USA",40.8515730,-124.1632900,4.6
"Adventure Miniature Golf","6550 Corporate Dr, Colorado Springs, CO 80919, USA",38.9263730,-104.8146814,4.5
"Legends Miniature Golf & Batting Cages","6655 Dalby Dr, Colorado Springs, CO 80923, USA",38.9278877,-104.7206228,4.5
"Hitt's Miniature Golf","3402 North Academy Boulevard, Colorado Springs, CO 80917, USA",38.8805280,-104.7583760,4.7
"Adventure Golf & Raceway","9650 Sheridan Boulevard, Westminster, CO 80031, USA",39.8714920,-105.0515726,4.5
"Colorado Journey Miniature Golf Course","5150 S Windermere St, Littleton, CO 80120, USA",39.6236207,-105.0058847,4.2
"Glow Golf","750 Citadel Dr E #2072, Colorado Springs, CO 80909, USA",38.8435590,-104.7631603,4.0
"Glowgolf At Chapel Hills Mall","1710 Briargate Blvd, Colorado Springs, CO 80920, USA",38.9485428,-104.7941323,4.1
"Putter's Pride","3604 S Kipling St, Denver, CO 80235, USA",39.6500732,-105.1089023,4.1
"Monster Mini Golf - Denver","8227 S Holly St, Centennial, CO 80122, USA",39.5676620,-104.9248000,4.2
"Aqua Golf","501 W Florida Ave, Denver, CO 80223, USA",39.6904520,-104.9935697,4.7
"World Golf & Sand Creek Golf Course","6865 Galley Rd, Colorado Springs, CO 80915, USA",38.8451061,-104.7027353,4.2
"Peak View Park Miniature Golf Course","Stewart Ave, Colorado Springs, CO 80914, USA",38.8131837,-104.6809719,NONE
"Rocky Mountain Mini Golf Inc","413 1/2 W Rainbow Blvd, Salida, CO 81201, USA",38.5238512,-106.0094674,4.9
"Kennedy Golf Course","10500 E Hampden Ave, Denver, CO 80014, USA",39.6513100,-104.8672260,4.1
"Family Sports Miniature Golf","6901 S Peoria St, Centennial, CO 80112, USA",39.5900770,-104.8502960,4.4
"Tiny Town Miniature Golf","840 Moraine Ave, Estes Park, CO 80517, USA",40.3652107,-105.5399828,4.9
"Boondocks Food & Fun Northglenn","11425 Community Center Dr, Northglenn, CO 80233, USA",39.9034531,-104.9883798,4.0
"Gateway Park Fun Center","4800 28th St, Boulder, CO 80301, USA",40.0629541,-105.2766631,4.3
"Delta Family Fun Park","227 N Palmer St, Delta, CO 81416, USA",38.7466020,-108.0731950,4.4
"Epic Entertainment","701 S Pueblo Blvd, Pueblo, CO 81005, USA",38.2540559,-104.6622780,4.0
"Alpine Mini-Golf","630 Gunnison Ave, Lake City, CO 81235, USA",38.0219702,-107.3160531,NONE
"Durango Park Mini Golf","650 S Camino Del Rio, Durango, CO 81301, USA",37.2454334,-107.8723395,3.7
"Beaver Creek Miniature Golf","50 Promenade, Avon, CO 81620, USA",39.6028598,-106.5167024,4.5
"Steel City Putt Glow Golf","3425 Dillon Dr, Pueblo, CO 81008, USA",38.3021001,-104.6094074,4.4
"Fun Putter Park","701 S Pueblo Blvd, Pueblo, CO 81005, USA",38.2540000,-104.6621980,4.3
"Pueblo West Family Fun Center","387 S Angus Ave, Pueblo West, CO 81007, USA",38.3195280,-104.7466910,4.9
"Johnson's Park Miniature Golf","51579 US Highway 24, Glenwood Springs, CO 81601, USA",39.5619129,-107.3530419,4.3
"Estes Park Ride-A-Kart","2250 Big Thompson Ave, Estes Park, CO 80517, USA",40.3759930,-105.4831990,4.4
"Fat Cats Westminster","10685 Westminster Blvd, Westminster, CO 80020, USA",39.8907692,-105.0729986,3.5
"AppleLodge Mini Golf","15081 w Hwy 160, Del Norte, CO 81132, United States",37.6791750,-106.3732550,NONE
"Bananas Fun Park","2469 Riverside Pkwy, Grand Junction, CO 81505, USA",39.0835491,-108.5962921,4.2
"Boondocks Food & Fun Parker","18706 Cottonwood Dr, Parker, CO 80138, USA",39.5566550,-104.7730540,4.1
"Tree Town Wonderland","3604 S Kipling St, Denver, CO 80235, USA",39.6500116,-105.1086538,4.4
"Monster Mini Golf","14 Starr Rd, Danbury, CT 06810, USA",41.4165970,-73.4232600,4.2
"Matterhorn Mini Golf","10 Dyer Cemetery Rd, Canton, CT 06019, USA",41.8342740,-72.9248470,4.6
"Farmington Miniature Golf & Ice Cream","1048 Farmington Ave, Farmington, CT 06032, USA",41.7354315,-72.8381740,4.2
"Olde Sawmill Grill and Miniature Golf Course","345 Oxford Rd, Oxford, CT 06478, USA",41.4272983,-73.1101042,4.1
"Knolls & Holes Miniature Golf & Ice Cream","38 Bozrah St Ext, Bozrah, CT 06334, USA",41.5600810,-72.1586000,4.2
"Riverfront Miniature Golf","218 River Rd, Unionville, CT 06085, USA",41.7645010,-72.8969479,4.5
"Mini-Golf at Saybrook Point","154 College St, Old Saybrook, CT 06475, USA",41.2849740,-72.3502458,4.3
"Monster Mini Golf and Laser Tag","210 Indian River Rd, Orange, CT 06477, USA",41.2621530,-73.0026830,4.2
"Putters Paradise Mini Golf","1823 Berlin Turnpike, Berlin, CT 06037, USA",41.6018724,-72.7522715,4.3
"Mar-Lea Miniature Golf-Driving","244 Boston Turnpike, Bolton, CT 06043, USA",41.7851290,-72.4600050,4.3
"Sports Center of Connecticut","784 River Rd, Shelton, CT 06484, USA",41.2648108,-73.0913455,4.2
"Berlin Batting Cages","1801 Berlin Turnpike, Berlin, CT 06037, USA",41.6025210,-72.7517490,4.4
"Torza's Golf","150 Sebethe Dr, Cromwell, CT 06416, USA",41.6129340,-72.7074660,4.6
"Norwalk Cove Marina Mini Golf","44 Calf Pasture Beach Rd, Norwalk, CT 06855, USA",41.0865160,-73.3938650,4.2
"Great Brook Sports","850 Gold Star Hwy, Groton, CT 06340, USA",41.3787644,-72.0401724,4.0
"The Only Game in Town","275 Valley Service Rd, North Haven, CT 06473, USA",41.3986981,-72.8616097,3.6
"Sonny's Place","349 Main St, Somers, CT 06071, USA",41.9858369,-72.4678580,4.6
"Library Mini Golf","20 Lobsterback Rd, Trumbull, CT 06611, USA",41.2608697,-73.1509608,NONE
"Copper Creek Mini Golf at Nature's Art Village","1715, 1650 Hartford-New London Turnpike, Montville, CT 06370, United States",41.4318010,-72.2222110,3.5
"Nomads Adventure Quest","100 Bidwell Rd, South Windsor, CT 06074, USA",41.8299579,-72.6092454,4.1
"Golf Down Under","DE-54, Fenwick Island, DE 19944, USA",38.4519214,-75.0525728,4.5
"Ryan's Mini Golf","1 Delaware Ave, Rehoboth Beach, DE 19971, USA",38.7151298,-75.0761263,4.3
"Shell We Golf","19366 Coastal Hwy, Rehoboth Beach, DE 19971, USA",38.7222771,-75.1224490,4.5
"Riverwalk Mini Golf-See You May 19, 2018!","550 Justison St, Wilmington, DE 19801, USA",39.7347933,-75.5602622,4.2
"Putters Paradise","130 Commerce Dr, Middletown, DE 19709, USA",39.4471865,-75.7398367,4.6
"First State Golf Center","1798 W Newport Pike, Wilmington, DE 19804, USA",39.7133347,-75.6306286,4.1
"Captain Jack's Pirate Golf","21 N. Pennylvania Ave., Bethany Beach, DE 19930, USA",38.5404323,-75.0575897,3.9
"Midway Speedway Park","18645 Coastal Hwy, Rehoboth Beach, DE 19971, USA",38.7371720,-75.1392066,4.1
"Viking Golf & Go-Karts, Thunder Lagoon Waterpark","38965 Virginia Ave, Fenwick Island, DE 19944, USA",38.4526825,-75.0538906,4.3
"Tee It Up Golf","21 Hagerty Blvd, West Chester, PA 19382, USA",39.9481927,-75.5794452,3.8
"Olentangy Mini Golf","63 Olentangy Crossings W, Delaware, OH 43015, USA",40.2044467,-83.0314385,4.6
"Delcastle Golf Club","801 McKennans Church Road, Wilmington, DE 19808, USA",39.7477590,-75.6659020,3.7
"Jungle Jim's","36944 Country Club Rd, Rehoboth Beach, DE 19971, USA",38.7108936,-75.1037567,4.4
"Vince's Sports Center","14 Gender Rd, Newark, DE 19713, United States",39.6643980,-75.7203540,4.3
"Lost Treasure Golf","13903 Coastal Hwy, Ocean City, MD 21842, USA",38.4450529,-75.0536311,4.4
"CARIBBEAN PIRATES MINI GOLF","13603 Coastal Hwy, Ocean City, MD 21842, USA",38.4423551,-75.0543425,4.3
"Delcastle Golf Center","801 McKennans Church Rd, Wilmington, DE 19808, USA",39.7485984,-75.6610948,NONE
"Nick's Mini Golf","12407 Coastal Hwy, Ocean City, MD 21842, USA",38.4300067,-75.0557854,2.8
"Frontier Falls","545 Delaware Ave, Rochester, PA 15074, USA",40.7078400,-80.2927230,4.4
"Old Pro Golf","2801 Philadelphia Ave, Ocean City, MD 21842, USA",38.3574378,-75.0752264,4.3
"Old Pro Golf","2300 Philadelphia Ave, Ocean City, MD 21842, USA",38.3526509,-75.0764343,4.1
"Delcastle Golf Driving Range and Mini Golf","3601 Millcreek Rd, Wilmington, DE 19808, USA",39.7510810,-75.6708540,3.9
"Pirate's Cove Adventure Golf","8501 International Dr, Orlando, FL 32819, USA",28.4409161,-81.4698807,4.6
"Adventure Mini Golf","6585 S Military Trail, Lake Worth, FL 33463, USA",26.5778885,-80.1138071,4.2
"Monster Mini Golf","9533 Westview Dr, Coral Springs, FL 33076, USA",26.3000570,-80.2514790,4.6
"Pirate's Cove Adventure Golf","2845 Florida Plaza Blvd, Kissimmee, FL 34746, USA",28.3306180,-81.5131900,4.5
"Congo River Golf","4777 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, USA",28.3290732,-81.4712720,4.5
"Congo River Golf","20060 US Hwy 19 N, Clearwater, FL 33764, USA",27.9548767,-82.7307190,4.6
"Monster Mini Golf","14435 Miramar Pkwy, Miramar, FL 33027, USA",25.9803108,-80.3384641,4.4
"Congo River Golf","24270 S Tamiami Trail, Bonita Springs, FL 34134, USA",26.3871505,-81.8097041,4.6
"Congo River Golf","531 FL-436, Altamonte Springs, FL 32714, USA",28.6624057,-81.4039944,4.5
"Putt'n Around","350 NE 5th Ave, Delray Beach, FL 33483, USA",26.4683220,-80.0683830,4.7
"Congo River Golf","10555 US-19, Port Richey, FL 34668, USA",28.3109385,-82.7001590,4.4
"Monster Mini Golf","6429 U.S. 19, New Port Richey, FL 34652, USA",28.2518230,-82.7293790,4.1
"Smugglers Cove Adventure Golf","1816, 15395 Gulf Blvd, Madeira Beach, FL 33708, United States",27.8041750,-82.8045730,4.4
"Lighthouse Cove Adventure Golf","617 N A1A, Jupiter, FL 33477, USA",26.9393670,-80.0771660,4.6
"Pirate's Cove Adventure Golf","226 Cardinal Dr, Ormond Beach, FL 32176, USA",29.2746464,-81.0321618,4.6
"Pirate's Cove Adventure Golf","12545 Florida 535, Orlando, FL 32836, USA",28.3834510,-81.5004012,4.5
"Hawaiian Rumble Adventure Golf","13529 FL-535, Orlando, FL 32821, USA",28.3681940,-81.5020570,4.5
"Hollywood Drive-In Golf","6000 Universal Blvd #774, Orlando, FL 32819, USA",28.4738182,-81.4646048,4.5
"Castle Golf","7400 Gladiolus Dr, Fort Myers, FL 33908, USA",26.5231336,-81.8779278,4.5
"Pirates Island Adventure Golf","4330 W Vine St, Kissimmee, FL 34746, USA",28.3034240,-81.4551400,4.4
"The Mighty Jungle Golf Adventure","7836 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34747, USA",28.3406478,-81.5994022,4.2
"Boondocks Grille and Draft House and Miniature Golf","27205 Overseas Hwy, Ramrod Key, FL 33042, USA",24.6621250,-81.4089450,4.3
"Bonanza Golf and Gifts","7761 W, US-192, Kissimmee, FL 34747, United States",28.3392626,-81.5945553,4.0
"Lost Caverns Adventure Golf","6306 International Dr, Orlando, FL 32819, USA",28.4601400,-81.4665880,4.1
"Smugglers Cove Adventure Golf","3815 N Tamiami Trail, Sarasota, FL 34234, USA",27.3681210,-82.5524010,4.4
"AllGolf at CB Smith","950 N Flamingo Rd, Pembroke Pines, FL 33028, USA",26.0161192,-80.3137037,4.1
"Pirate's Island Adventure Golf","3420 S Atlantic Ave, Daytona Beach, FL 32118, USA",29.1518975,-80.9697671,4.5
"Coral Cay Adventure Golf","2205 Tamiami Trail E, Naples, FL 34112, USA",26.1352585,-81.7771641,4.4
"Pirate’s Island Adventure Golf","9518 Front Beach Rd, Panama City Beach, FL 32407, USA",30.1804600,-85.7941930,4.6
"Congo River Golf","2100 S Atlantic Ave, Daytona Beach, FL 32118, USA",29.1986630,-80.9948772,4.4
"Smugglers Cove Adventure Golf","2000 Cortez Rd W, Bradenton, FL 34207, USA",27.4629158,-82.5822298,4.4
"Smugglers Cove Adventure Golf","17450 San Carlos Blvd, Fort Myers Beach, FL 33931, USA",26.4873186,-81.9437636,4.5
"The Fish Hole Miniature Golf","115 Bridge St, Bradenton Beach, FL 34217, USA",27.4650805,-82.6975367,4.6
"Smuggler's Cove Adventure Golf","19463 Gulf Blvd, Indian Shores, FL 33785, USA",27.8510313,-82.8439980,4.5
"Gator Golf Adventure Park","6586 International Dr, Orlando, FL 32819, USA",28.4575147,-81.4700194,3.8
"Golf Safari Inc","3775 Bonita Beach Rd SW, Bonita Springs, FL 34134, USA",26.3298514,-81.8154337,4.4
"Tree Tops Golf","698 W Lady Lake Blvd, Lady Lake, FL 32159, USA",28.9138955,-81.9363466,4.0
"Disney's Winter Summerland","1534 Blizzard Beach Drive, Lake Buena Vista, FL 32830, USA",28.3534339,-81.5744918,4.4
"Orlando Putting Edge","5250 International Dr, Orlando, FL 32819, USA",28.4697821,-81.4468346,4.4
"Disney's Fantasia Gardens Miniature Golf Course","1205 Epcot Resorts Blvd, Kissimmee, FL 32836, USA",28.3641739,-81.5608397,4.6
"Pirate's Cove Adventure Golf","3380 Venture Pkwy NW, Duluth, GA 30096, USA",33.9559443,-84.1242962,4.2
"Lunar Mini Golf of Atlanta","5900 Sugarloaf Pkwy #402, Lawrenceville, GA 30043, USA",33.9813368,-84.0786233,3.8
"Area 51 - Aurora Cineplex and The Fringe Miniature Golf","5100 Commerce Pkwy, Roswell, GA 30076, USA",34.0387640,-84.3390690,4.5
"Monster Mini Golf","2505 Chastain Meadows Pkwy NW, Marietta, GA 30066, USA",34.0165273,-84.5560398,4.3
"Rainforest Miniature Golf","5500 Bermuda Rd SW, Stone Mountain, GA 30087, USA",33.8212597,-84.1189091,3.7
"Oaks Miniature Golf LLC","3709, 9215, Whiting Rd, Gainesville, GA 30504, United States",34.2629973,-83.8853727,4.8
"Bavarian Mountain Miniature Golf","8065 S Main St, Helen, GA 30545, USA",34.6977022,-83.7229356,4.7
"Alpine Mini Golf","7914 S Main St, Helen, GA 30545, USA",34.6971026,-83.7184061,4.7
"Pirates Cove Adventure Golf","1081 Edelweiss Strasse, Helen, GA 30545, USA",34.7020123,-83.7272812,4.3
"Island Miniature Golf and Games","7890 US-80, Savannah, GA 31410, USA",32.0331300,-80.9643350,4.6
"Putt Putt Fun Center","3763 Martinez Blvd, Augusta, GA 30907, USA",33.5162260,-82.0805500,3.9
"Jekyll Island Miniature Golf","100 Great Dunes Ln, Jekyll Island, GA 31527, USA",31.0537841,-81.4094122,4.6
"Dalton Falls Fun Center","2817 Airport Rd, Dalton, GA 30721, USA",34.7596902,-84.9270137,4.2
"Caddyshack Miniature Golf","1683 Whittlesey Rd, Columbus, GA 31904, USA",32.5397769,-84.9684145,4.8
"Putt-Putt Fun Center","3349 GA-20, Rome, GA 30165, USA",34.2711310,-85.2705330,4.0
"Outrageous Mini Golf Family Fun Center","3736 Atlanta Hwy A, Hiram, GA 30141, USA",33.9081231,-84.7796595,4.5
"Cherokee Lanes","1149 Marietta Hwy, Canton, GA 30114, USA",34.2310600,-84.4977940,4.2
"Mountasia","175 Ernest W Barrett Pkwy NW, Marietta, GA 30066, USA",34.0124320,-84.5571201,3.7
"Treehouse Adventures & Putt Putt","14045 Abercorn St, Savannah, GA 31419, USA",31.9840252,-81.1723780,4.1
"Funopolis Mini Golf","40155 US-441, Commerce, GA 30529, USA",34.2429863,-83.4546015,3.5
"Cohutta Cove Mini Golf","64 Dunbarton Farm Rd, Blue Ridge, GA 30513, USA",34.8517101,-84.3392085,4.4
"Crooked River State Park Miniature Golf","6222 Charlie Smith Sr Hwy, St Marys, GA 31558, USA",30.8440081,-81.5558291,3.0
"Lakepoint Station","77 Old Allatoona Rd SE, Cartersville, GA 30121, USA",34.1214014,-84.7463612,4.5
"Fun Bowl of Henry County","300 GA-155 S, McDonough, GA 30253, USA",33.4241970,-84.1529450,4.1
"Peachtree Golf Center","2833 Peachtree Industrial Blvd, Duluth, GA 30096, United States",34.0275620,-84.1507685,3.4
"Funopolis Family Fun Center","40155 Hwy. 441 S, Commerce, GA 30529, USA",34.2425940,-83.4558960,4.4
"The Clubhouse","2704 Old Register Rd, Statesboro, GA 30458, USA",32.4074488,-81.7970336,4.2
"Junction Lanes Family Entertainment Center","141 Newnan Station Dr, Newnan, GA 30265, USA",33.3964545,-84.7337007,4.1
"All American Fun Park","2608 N Slappey Blvd, Albany, GA 31701, USA",31.6145698,-84.1746484,4.1
"The Lilly Pad Village","24 Adelaide Dr, Blue Ridge, GA 30513, USA",34.7906374,-84.2709691,4.5
"Astro-Putt","2743 US-76, Chatsworth, GA 30705, USA",34.7833241,-84.8216796,5.0
"Skyline Park","675 Ponce De Leon Ave NE, Atlanta, GA 30308, USA",33.7726805,-84.3656719,3.5
"Fun Zone Amusement & Sports Park","1040 US-80, Pooler, GA 31322, USA",32.1088850,-81.2292930,4.0
"Tropics Mini Golf","98-1101 Moanalua Rd, Aiea, HI 96701, USA",21.3821449,-157.9371119,3.8
"Glow Putt Productions","46-056 Kamehameha Hwy # 224, Kaneohe, HI 96744, USA",21.4194793,-157.8053050,4.7
"Bay View Mini-Putt and Zipline","45-285 Kaneohe Bay Dr, Kaneohe, HI 96744, USA",21.4060660,-157.7894680,4.3
"Tiki Island","2549-2551 Manning St, Kailua, HI 96734, USA",21.4498611,-157.7512573,2.7
"Kauai Miniature Golf and Botanical Garden","5-2723 Kuhio Hwy #101, Kilauea, HI 96754, USA",22.2109807,-159.4160277,4.6
"Maui Golf & Sports Park","80 Maalaea Rd, Wailuku, HI 96793, USA",20.7960906,-156.5107426,4.1
"Hawaiian Rumble Golf & Batting Cages","3210 Hwy 17 S, North Myrtle Beach, SC 29582, USA",33.8047920,-78.7215440,4.3
"Tikis Family Fun Center","735 Iwilei Rd 310 & 320, Honolulu, HI 96817, USA",21.3157733,-157.8703969,3.8
"Putter's Mini Golf","1821 Canyon Crest Dr, Twin Falls, ID 83301, USA",42.5936992,-114.4737532,4.7
"Airway Hills Golf Center","4811 Pullman Airport Rd, Pullman, WA 99163, USA",46.7518172,-117.0674063,5.0
"Mardi Katz","677 Filer Ave, Twin Falls, ID 83301, USA",42.5714254,-114.4658499,4.3
"Wahooz Family Fun Zone","1385 S Blue Marlin Ln, Meridian, ID 83642, USA",43.5924640,-116.4006240,4.4
"The Craze Fun Zone","30 College Ave #101, Rexburg, ID 83440, USA",43.8252422,-111.7826218,3.9
"Blast Off","1980 N Yellowstone Hwy, Idaho Falls, ID 83401, USA",43.5135681,-112.0100546,3.5
"7N Ranch Resort","5109 East 7n Ranch Road, Ririe, ID 83443, USA",43.6388275,-111.6838080,4.6
