NAME,ADDRESS,LATITUDE,LONGITUDE,RATING
"Tiki Town Adventure Golf","3114 Mission Blvd, San Diego, CA 92109, USA",32.7702430,-117.2514930,4.2
"Subpar Miniature Golf","1511 Park St, Alameda, CA 94501, USA",37.7657642,-122.2417401,4.3
"Kings Beach Miniature Golf","8693 N Lake Blvd, Kings Beach, CA 96143, USA",39.2355236,-120.0198449,4.4
"Twain Harte Miniature Golf","23098 Fuller Rd, Twain Harte, CA 95383, USA",38.0398638,-120.2303064,4.8
"GLO Mini Golf | Arcade | Virtual Reality | Ice Cream Bar","1299 Tyler St E106, Riverside, CA 92503, USA",33.9099800,-117.4565230,4.1
"Magic Carpet Golf","5167 N Lake Blvd, Carnelian Bay, CA 96140, USA",39.2269800,-120.0805390,4.4
"Frosty's Miniature Golf","164 Old Mammoth Rd, Mammoth Lakes, CA 93546, USA",37.6435516,-118.9673740,NONE
"Monster Mini Golf","12401 Folsom Blvd, Rancho Cordova, CA 95742, USA",38.6298574,-121.2149226,4.4
"Golf Gardens","10 Island Plaza, Avalon, CA 90704, USA",33.3424764,-118.3269262,4.7
"Golfland","1199 Jacklin Rd, Milpitas, CA 95035, USA",37.4477458,-121.8899857,4.1
"Golden Tee Golfland","2533 Castro Valley Blvd, Castro Valley, CA 94546, USA",37.6926350,-122.0876755,4.3
"Golfland USA","855 E El Camino Real, Sunnyvale, CA 94087, USA",37.3548020,-122.0157610,4.4
"Mr. Putter's Putt Putt","5625 El Camino Real, Atascadero, CA 93422, USA",35.4904302,-120.6721836,4.3
"Urban Putt","1096 S Van Ness Ave, San Francisco, CA 94110, USA",37.7557310,-122.4168235,4.5
"Roseville Golfland Sunsplash","1893 Taylor Rd, Roseville, CA 95661, USA",38.7615090,-121.2574230,4.3
"Lighthouse Plaza","180 Lupin Dr, Arcata, CA 95521, USA",40.8515730,-124.1632900,4.6
"Graeagle Miniature Golf","CA-89, Graeagle, CA 96103, USA",39.7694110,-120.6197166,NONE
"Arroyo Seco Golf Course","1055 Lohman Ln, South Pasadena, CA 91030, USA",34.1136250,-118.1719490,4.3
"Golfland Entertainment Centers","976 Blossom Hill Rd, San Jose, CA 95123, USA",37.2497353,-121.8677195,4.1
"Castle Park Miniature Golf","3500 Polk St, Riverside, CA 92505, USA",33.9029213,-117.4663068,4.6
"Colorado Journey Miniature Golf Course","5150 S Windermere St, Littleton, CO 80120, USA",39.6236207,-105.0058847,4.2
"Legends Miniature Golf & Batting Cages","6655 Dalby Dr, Colorado Springs, CO 80923, USA",38.9278877,-104.7206228,4.5
"Hitt's Miniature Golf","3402 North Academy Boulevard, Colorado Springs, CO 80917, USA",38.8805280,-104.7583760,4.7
"Adventure Miniature Golf","6550 Corporate Dr, Colorado Springs, CO 80919, USA",38.9263730,-104.8146814,4.5
"Family Sports Miniature Golf","6901 S Peoria St, Centennial, CO 80112, USA",39.5900770,-104.8502960,4.4
"Adventure Golf & Raceway","9650 Sheridan Boulevard, Westminster, CO 80031, USA",39.8714920,-105.0515726,4.5
"World Golf & Sand Creek Golf Course","6865 Galley Rd, Colorado Springs, CO 80915, USA",38.8451061,-104.7027353,4.2
"Putter's Pride","3604 S Kipling St, Denver, CO 80235, USA",39.6500732,-105.1089023,4.1
"Glow Golf","750 Citadel Dr E #2072, Colorado Springs, CO 80909, USA",38.8435590,-104.7631603,4.0
"Kennedy Golf Course","10500 E Hampden Ave, Denver, CO 80014, USA",39.6513100,-104.8672260,4.1
"Glowgolf At Chapel Hills Mall","1710 Briargate Blvd, Colorado Springs, CO 80920, USA",38.9485428,-104.7941323,4.1
"Monster Mini Golf - Denver","8227 S Holly St, Centennial, CO 80122, USA",39.5676620,-104.9248000,4.2
"Peak View Park Miniature Golf Course","Stewart Ave, Colorado Springs, CO 80914, USA",38.8131837,-104.6809719,NONE
"Tiny Town Miniature Golf","840 Moraine Ave, Estes Park, CO 80517, USA",40.3652107,-105.5399828,4.9
"Johnson's Park Miniature Golf","51579 US Highway 24, Glenwood Springs, CO 81601, USA",39.5619129,-107.3530419,4.3
"Aqua Golf","501 W Florida Ave, Denver, CO 80223, USA",39.6904520,-104.9935697,4.7
"Steel City Putt Glow Golf","3425 Dillon Dr, Pueblo, CO 81008, USA",38.3021001,-104.6094074,4.4
"Rocky Mountain Mini Golf Inc","413 1/2 W Rainbow Blvd, Salida, CO 81201, USA",38.5238512,-106.0094674,4.9
"Durango Park Mini Golf","650 S Camino Del Rio, Durango, CO 81301, USA",37.2454334,-107.8723395,3.7
"Beaver Creek Miniature Golf","50 Promenade, Avon, CO 81620, USA",39.6028598,-106.5167024,4.5
"Fun Putter Park","701 S Pueblo Blvd, Pueblo, CO 81005, USA",38.2540000,-104.6621980,4.3
"Delta Family Fun Park","227 N Palmer St, Delta, CO 81416, USA",38.7466020,-108.0731950,4.4
"Alpine Mini-Golf","630 Gunnison Ave, Lake City, CO 81235, USA",38.0219702,-107.3160531,NONE
"Pueblo West Family Fun Center","387 S Angus Ave, Pueblo West, CO 81007, USA",38.3195280,-104.7466910,4.9
"Epic Entertainment","701 S Pueblo Blvd, Pueblo, CO 81005, USA",38.2540559,-104.6622780,4.0
"Boondocks Food & Fun Northglenn","11425 Community Center Dr, Northglenn, CO 80233, USA",39.9034531,-104.9883798,4.0
"Putt Putt Golf CP Burger","400 E Dean St, Aspen, CO 81611, USA",39.1871507,-106.8197140,NONE
"Gateway Park Fun Center","4800 28th St, Boulder, CO 80301, USA",40.0629541,-105.2766631,4.3
"Olde Sawmill Grill and Miniature Golf Course","345 Oxford Rd, Oxford, CT 06478, USA",41.4272983,-73.1101042,4.1
"Mar-Lea Miniature Golf-Driving","244 Boston Turnpike, Bolton, CT 06043, USA",41.7851290,-72.4600050,4.3
"Farmington Miniature Golf & Ice Cream","1048 Farmington Ave, Farmington, CT 06032, USA",41.7354315,-72.8381740,4.2
"Riverfront Miniature Golf","218 River Rd, Unionville, CT 06085, USA",41.7645010,-72.8969479,4.5
"Matterhorn Mini Golf","10 Dyer Cemetery Rd, Canton, CT 06019, USA",41.8342740,-72.9248470,4.6
"Knolls & Holes Miniature Golf & Ice Cream","38 Bozrah St Ext, Bozrah, CT 06334, USA",41.5600810,-72.1586000,4.2
"Putters Paradise Mini Golf","1823 Berlin Turnpike, Berlin, CT 06037, USA",41.6018724,-72.7522715,4.3
"Monster Mini Golf","14 Starr Rd, Danbury, CT 06810, USA",41.4165970,-73.4232600,4.2
"Mini-Golf at Saybrook Point","154 College St, Old Saybrook, CT 06475, USA",41.2849740,-72.3502458,4.3
"Norwalk Cove Marina Mini Golf","44 Calf Pasture Beach Rd, Norwalk, CT 06855, USA",41.0865160,-73.3938650,4.2
"Monster Mini Golf and Laser Tag","210 Indian River Rd, Orange, CT 06477, USA",41.2621530,-73.0026830,4.2
"Great Brook Sports","850 Gold Star Hwy, Groton, CT 06340, USA",41.3787644,-72.0401724,4.0
"Torza's Golf","150 Sebethe Dr, Cromwell, CT 06416, USA",41.6129340,-72.7074660,4.6
"Copper Creek Mini Golf at Nature's Art Village","1715, 1650 Hartford-New London Turnpike, Montville, CT 06370, United States",41.4318010,-72.2222110,3.5
"Berlin Batting Cages","1801 Berlin Turnpike, Berlin, CT 06037, USA",41.6025210,-72.7517490,4.4
"Golf Quest","1 Sand Cut Rd, Brookfield, CT 06804, USA",41.4370663,-73.3998626,4.5
"Safari Golf","2340 Berlin Turnpike, Berlin, CT 06037, USA",41.5892003,-72.7604286,4.6
"Sports Center of Connecticut","784 River Rd, Shelton, CT 06484, USA",41.2648108,-73.0913455,4.2
"Library Mini Golf","20 Lobsterback Rd, Trumbull, CT 06611, USA",41.2608697,-73.1509608,NONE
"The Golf Performance Center","824 Ethan Allen Hwy, Ridgefield, CT 06877, USA",41.3124397,-73.4705979,3.6
"Sonny's Place","349 Main St, Somers, CT 06071, USA",41.9858369,-72.4678580,4.6
"Nomads Adventure Quest","100 Bidwell Rd, South Windsor, CT 06074, USA",41.8299579,-72.6092454,4.1
"The Only Game in Town","275 Valley Service Rd, North Haven, CT 06473, USA",41.3986981,-72.8616097,3.6
"Hidden Valley Miniature Golf","2060 West St, Southington, CT 06489, USA",41.6439080,-72.9021910,4.3
"Blue Fox Rock n Bowl","1603 Hopmeadow St, Simsbury, CT 06070, USA",41.9169640,-72.7916630,4.1
"R & B Sports World","19 Rowley St, Winsted, CT 06098, USA",41.9195256,-73.0600353,4.4
"Golf on the Green","27 Main St, New Milford, CT 06776, USA",41.5781464,-73.4114716,NONE
"The Fairways Golf Driving Range","19 Tipping Dr, Branford, CT 06405, USA",41.3052906,-72.7664314,4.5
"Fairways Miniature Golf & Batting Cages","75 Spielman Rd, South Windsor, CT 06074, USA",41.8007446,-72.6164390,5.0
"Paradise Under Par","350 Ashley Falls Rd, Canaan, CT 06018, USA",42.0393827,-73.3257351,NONE
"Torza's Batting Cages","98 Sebethe Dr, Cromwell, CT 06416, USA",41.6111743,-72.7076283,NONE
"Prospect Golf","144 Waterbury Rd, Prospect, CT 06712, USA",41.5227785,-72.9936361,4.2
"Minnechaug Golf Course","16 Fairway Crossing, Glastonbury, CT 06033, USA",41.7293314,-72.5264190,4.0
"The Carnival Party","17 Surrey Dr, Westerly, RI 02891, USA",41.3987291,-71.8153696,3.0
"Chanticlair Public Golf Course","288 Old Hebron Rd, Colchester, CT 06415, USA",41.5886270,-72.3445760,3.4
"Golf Quest","125 Jude Ln, Southington, CT 06489, USA",41.6088120,-72.9032540,2.8
"Tick Tock Miniature Golf","Rte 25, Greenport, NY 11944, USA",41.0915479,-72.3896867,4.1
"Bayville Adventure Park","8 Bayville Ave, Bayville, NY 11709, USA",40.9079201,-73.5823059,3.3
"Fenway Golf","112 Allen St, East Longmeadow, MA 01028, USA",42.0840851,-72.4829292,4.2
"Valley Golf Center","562 Danbury Rd, New Milford, CT 06776, USA",41.5098215,-73.4213895,4.7
"Golf Down Under","DE-54, Fenwick Island, DE 19944, USA",38.4519214,-75.0525728,4.5
"First State Golf Center","1798 W Newport Pike, Wilmington, DE 19804, USA",39.7133347,-75.6306286,4.1
"Ryan's Mini Golf","1 Delaware Ave, Rehoboth Beach, DE 19971, USA",38.7151298,-75.0761263,4.3
"Putters Paradise","130 Commerce Dr, Middletown, DE 19709, USA",39.4471865,-75.7398367,4.6
"Shell We Golf","19366 Coastal Hwy, Rehoboth Beach, DE 19971, USA",38.7222771,-75.1224490,4.5
"Captain Jack's Pirate Golf","21 N. Pennylvania Ave., Bethany Beach, DE 19930, USA",38.5404323,-75.0575897,3.9
"Riverwalk Mini Golf-See You May 19, 2018!","550 Justison St, Wilmington, DE 19801, USA",39.7347933,-75.5602622,4.2
"Viking Golf & Go-Karts, Thunder Lagoon Waterpark","38965 Virginia Ave, Fenwick Island, DE 19944, USA",38.4526825,-75.0538906,4.3
"Lost Treasure Golf","13903 Coastal Hwy, Ocean City, MD 21842, USA",38.4450529,-75.0536311,4.4
"Delcastle Golf Club","801 McKennans Church Road, Wilmington, DE 19808, USA",39.7477590,-75.6659020,3.7
"CARIBBEAN PIRATES MINI GOLF","13603 Coastal Hwy, Ocean City, MD 21842, USA",38.4423551,-75.0543425,4.3
"Jungle Jim's","36944 Country Club Rd, Rehoboth Beach, DE 19971, USA",38.7108936,-75.1037567,4.4
"Midway Speedway Park","18645 Coastal Hwy, Rehoboth Beach, DE 19971, USA",38.7371720,-75.1392066,4.1
"Tee It Up Golf","21 Hagerty Blvd, West Chester, PA 19382, USA",39.9481927,-75.5794452,3.8
"Ocean Adventure Miniature Golf","12407 Coastal Hwy, Ocean City, MD 21842, USA",38.4296730,-75.0557077,NONE
"Delcastle Golf Center","801 McKennans Church Rd, Wilmington, DE 19808, USA",39.7485984,-75.6610948,NONE
"Old Pro Golf","2300 Philadelphia Ave, Ocean City, MD 21842, USA",38.3526509,-75.0764343,4.1
"Old Pro Golf","2801 Philadelphia Ave, Ocean City, MD 21842, USA",38.3574378,-75.0752264,4.3
"Vince's Sports Center","14 Gender Rd, Newark, DE 19713, United States",39.6643980,-75.7203540,4.3
"Nick's Maui Golf","101 57th St, Ocean City, MD 21842, USA",38.3810609,-75.0685189,3.7
"Dover Par 3 & Driving Range","924 Artis Dr, Dover, DE 19904, USA",39.1498900,-75.5856480,4.5
"Putt-Putt Fun Center","5300 W Baltimore Pike, Clifton Heights, PA 19018, USA",39.9250288,-75.3048966,4.4
"Ruddo’s Golf","18467 Coastal Hwy, Lewes, DE 19958, USA",38.7395036,-75.1444654,4.2
"Embers Island Mini Golf","2305 Philadelphia Ave, Ocean City, MD 21842, USA",38.3525443,-75.0774657,4.2
"White Clay Creek Country Club","777 Delaware Park Blvd, Wilmington, DE 19804, USA",39.6960969,-75.6715524,4.5
"Nick's Mini Golf","1801 Philadelphia Ave, Ocean City, MD 21842, USA",38.3484622,-75.0791073,3.3
"Harris Miniature Golf Inc.","141 W Burk Ave, Wildwood, NJ 08260, USA",38.9869057,-74.8241312,4.0
"Cape May Miniature Golf","315 Jackson St, Cape May, NJ 08204, USA",38.9340175,-74.9252592,4.3
"Village Greens Miniature Golf","1444 Village Rd, Strasburg, PA 17579, USA",39.9823320,-76.2067940,4.7
"Keystone Mini-Golf & Arcade","161 Cecil B. Moore Ave, Philadelphia, PA 19122, USA",39.9763377,-75.1374194,4.5
"Clayton Park Golf Course","1 Conchester Rd, Glen Mills, PA 19342, USA",39.8624760,-75.4866280,4.1
"Hill Top Miniature Golf","880 Easton Rd, Glenside, PA 19038, USA",40.1166434,-75.1385492,3.9
"Baywood Greens Golf Course","32267 Clubhouse Way, Long Neck, DE 19966, USA",38.6440820,-75.1876360,4.5
"Lost Treasure Golf","2521 Lincoln Hwy E, Ronks, PA 17572, USA",40.0225066,-76.1905086,4.4
"Midway Par 3 Golf Course","34578 Pinnacle Rd, Lewes, DE 19958, USA",38.7435910,-75.1478360,4.3
"Ocean Putt Golf","401 Beach Ave, Cape May, NJ 08204, USA",38.9304693,-74.9217967,4.0
"Stockton Mini Golf","801 Beach Ave, Cape May, NJ 08204, USA",38.9308870,-74.9163830,3.9
"Offshore Adventure Golf","1084 Route 47 S, Rio Grande, NJ 08242, United States",39.0179684,-74.8821734,4.5
"Dutch Gardens Miniature Golf Course","4311 Oregon Pike, Ephrata, PA 17522, USA",40.1354639,-76.2126705,3.0
"Bridgeton City Mini Golf","Mayor Aitken Dr, Bridgeton, NJ 08302, USA",39.4417320,-75.2388080,NONE
"Castle Golf","7400 Gladiolus Dr, Fort Myers, FL 33908, USA",26.5231336,-81.8779278,4.5
"Adventure Mini Golf","6585 S Military Trail, Lake Worth, FL 33463, USA",26.5778885,-80.1138071,4.2
"Disney's Fantasia Gardens Miniature Golf Course","1205 Epcot Resorts Blvd, Kissimmee, FL 32836, USA",28.3641739,-81.5608397,4.6
"Pirate's Cove Adventure Golf","8501 International Dr, Orlando, FL 32819, USA",28.4409161,-81.4698807,4.6
"Smugglers Cove Adventure Golf","1816, 15395 Gulf Blvd, Madeira Beach, FL 33708, United States",27.8041750,-82.8045730,4.4
"Smugglers Cove Adventure Golf","2000 Cortez Rd W, Bradenton, FL 34207, USA",27.4629158,-82.5822298,4.4
"Pirate's Cove Adventure Golf","2845 Florida Plaza Blvd, Kissimmee, FL 34746, USA",28.3306180,-81.5131900,4.5
"Pirate's Cove Adventure Golf","12545 Florida 535, Orlando, FL 32836, USA",28.3834510,-81.5004012,4.5
"Smugglers Cove Adventure Golf","17450 San Carlos Blvd, Fort Myers Beach, FL 33931, USA",26.4873186,-81.9437636,4.5
"76 Golf World","6801 S Kanner Hwy, Stuart, FL 34997, USA",27.1210391,-80.2523187,3.9
"Putt'n Around","350 NE 5th Ave, Delray Beach, FL 33483, USA",26.4683220,-80.0683830,4.6
"Pirate's Cove Adventure Golf","226 Cardinal Dr, Ormond Beach, FL 32176, USA",29.2746464,-81.0321618,4.6
"Lighthouse Cove Adventure Golf","617 N A1A, Jupiter, FL 33477, USA",26.9393670,-80.0771660,4.6
"Smuggler's Cove Adventure Golf","19463 Gulf Blvd, Indian Shores, FL 33785, USA",27.8510313,-82.8439980,4.5
"Lost Caverns Adventure Golf","6306 International Dr, Orlando, FL 32819, USA",28.4601400,-81.4665880,4.1
"The Fish Hole Miniature Golf","115 Bridge St, Bradenton Beach, FL 34217, USA",27.4650805,-82.6975367,4.6
"Smugglers Cove Adventure Golf","3815 N Tamiami Trail, Sarasota, FL 34234, USA",27.3681210,-82.5524010,4.4
"Pirate's Island Adventure Golf","3420 S Atlantic Ave, Daytona Beach, FL 32118, USA",29.1518975,-80.9697671,4.5
"Heron's Cove Adventure Golf","1 Amelia Village Cir, Fernandina Beach, FL 32034, USA",30.5559340,-81.4467860,4.2
"Congo River Golf","4777 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, USA",28.3290732,-81.4712720,4.5
"Congo River Golf","531 FL-436, Altamonte Springs, FL 32714, USA",28.6624057,-81.4039944,4.5
"Congo River Golf","24270 S Tamiami Trail, Bonita Springs, FL 34134, USA",26.3871505,-81.8097041,4.6
"Congo River Golf","2100 S Atlantic Ave, Daytona Beach, FL 32118, USA",29.1986630,-80.9948772,4.4
"Pirate’s Island Adventure Golf","9518 Front Beach Rd, Panama City Beach, FL 32407, USA",30.1804600,-85.7941930,4.6
"Congo River Golf","20060 US Hwy 19 N, Clearwater, FL 33764, USA",27.9548767,-82.7307190,4.6
"Aloha Falls Miniature Golf","2504 S Atlantic Ave, Daytona Beach, FL 32118, USA",29.1875990,-80.9892799,4.3
"Monster Mini Golf","14435 Miramar Pkwy, Miramar, FL 33027, USA",25.9803108,-80.3384641,4.4
"Island Falls Adventure Golf","1550 Sadler Rd, Fernandina Beach, FL 32034, USA",30.6392100,-81.4512040,4.4
"Monster Mini Golf","9533 Westview Dr, Coral Springs, FL 33076, USA",26.3000570,-80.2514790,4.6
"Pirates Island Adventure Golf","4330 W Vine St, Kissimmee, FL 34746, USA",28.3034240,-81.4551400,4.4
"Ace Golf Range & Pro Shop","820 S Kings Ave, Brandon, FL 33511, USA",27.9260486,-82.2956255,3.4
"Mystic Harbor Miniature Golf","4114 S Nova Rd, Port Orange, FL 32127, USA",29.1151682,-80.9871044,3.0
"Hawaiian Rumble Adventure Golf","13529 FL-535, Orlando, FL 32821, USA",28.3681940,-81.5020570,4.5
"Hollywood Drive-In Golf","6000 Universal Blvd #774, Orlando, FL 32819, USA",28.4738182,-81.4646048,4.5
"Fiesta Falls Miniature Golf","818 A1A Beach Blvd, St Augustine, FL 32080, USA",29.8399410,-81.2666340,4.5
"Gator Golf Adventure Park","6586 International Dr, Orlando, FL 32819, USA",28.4575147,-81.4700194,3.8
"The Mighty Jungle Golf Adventure","7836 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34747, USA",28.3406478,-81.5994022,4.2
"Coral Cay Adventure Golf","2205 Tamiami Trail E, Naples, FL 34112, USA",26.1352585,-81.7771641,4.4
"Boondocks Grille and Draft House and Miniature Golf","27205 Overseas Hwy, Ramrod Key, FL 33042, USA",24.6621250,-81.4089450,4.3
"Goofy Golf","12206 Front Beach Rd, Panama City Beach, FL 32407, USA",30.1906538,-85.8299759,4.2
"Anastasia Miniature Golf","701 Anastasia Blvd, St Augustine, FL 32080, USA",29.8885160,-81.2924060,4.0
"Congo River Golf","10555 US-19, Port Richey, FL 34668, USA",28.3109385,-82.7001590,4.4
"Lighthouse Cove Mini Golf","3811 N Atlantic Ave, Cocoa Beach, FL 32931, USA",28.3539290,-80.6080670,4.6
"Disney's Winter Summerland","1534 Blizzard Beach Drive, Lake Buena Vista, FL 32830, USA",28.3534339,-81.5744918,4.4
"JungleGolf","17710 San Carlos Blvd, Fort Myers Beach, FL 33931, USA",26.4840980,-81.9454350,4.5
"Tree Tops Golf","698 W Lady Lake Blvd, Lady Lake, FL 32159, USA",28.9138955,-81.9363466,4.0
"Goofy Golf","401 Eglin Pkwy NE, Fort Walton Beach, FL 32547, USA",30.4366220,-86.6014500,4.6
"Golf Safari Inc","3775 Bonita Beach Rd SW, Bonita Springs, FL 34134, USA",26.3298514,-81.8154337,4.4
"Monster Mini Golf","6429 U.S. 19, New Port Richey, FL 34652, USA",28.2518230,-82.7293790,4.1
"Golf N Gator","6355 N Atlantic Ave, Cape Canaveral, FL 32920, USA",28.3752010,-80.6061720,4.5
"Congo River Golf","12193 E Colonial Dr, Orlando, FL 32826, USA",28.5666640,-81.2003110,4.5
"Safari Golf and Games","455 9th St SW, Vero Beach, FL 32962, USA",27.5857542,-80.3831420,4.4
"Goofy Golf of Pensacola","3924 W Navy Blvd, Pensacola, FL 32507, USA",30.4094640,-87.2710010,4.5
"Bonanza Golf and Gifts","7761 W, US-192, Kissimmee, FL 34747, United States",28.3392626,-81.5945553,4.0
